step,phase,rev,total_revs,direction,cable_retracted_mm,disp_mm,cog_x,cog_y,cog_z,J_min,fem_time_s,servo_time_s,h_conv_W_m2K,T_min_C,T_max_C,T_avg_C,Q_watts,thermal_time_s,timestamp
1,forward,1,1,CW,10.0,-10.0,0.6389,-1.5828,106.3039,0,27.9,1.263157894736842,7110.38,60.0,60.01,60.0,0.0015,0.236,2026-03-26T19:37:28.127723
2,forward,2,2,CW,20.0,-20.0,1.6597,-2.5957,102.8109,0,26.904,1.263157894736842,7082.78,60.0,60.01,60.0,0.0015,0.222,2026-03-26T19:37:56.720407
3,forward,3,3,CW,30.0,-30.0,2.8194,-3.3068,98.9579,0,26.962,1.263157894736842,6992.52,60.0,60.01,60.0,0.0016,0.223,2026-03-26T19:38:25.372588
4,forward,4,4,CW,40.0,-40.0,4.0197,-3.8741,94.7545,0,26.61,1.263157894736842,6909.07,60.0,60.0,60.0,0.0016,0.225,2026-03-26T19:38:53.673800
5,forward,5,5,CW,50.0,-50.0,5.2319,-4.3845,90.2159,0,26.437,1.263157894736842,6829.83,60.0,60.0,60.0,0.0016,0.224,2026-03-26T19:39:21.801769
6,backward,1,6,CCW,40.0,-40.0,4.0197,-3.8741,94.7545,0,26.313,1.263157894736842,6909.07,60.0,60.0,60.0,0.0016,0.226,2026-03-26T19:39:49.806960
7,backward,2,7,CCW,30.0,-30.0,2.8194,-3.3068,98.9579,0,26.368,1.263157894736842,6992.52,60.0,60.01,60.0,0.0016,0.231,2026-03-26T19:40:17.872551
8,backward,3,8,CCW,20.0,-20.0,1.6597,-2.5957,102.8109,0,26.362,1.263157894736842,7082.78,60.0,60.01,60.0,0.0015,0.239,2026-03-26T19:40:45.940246
9,backward,4,9,CCW,10.0,-10.0,0.6389,-1.5828,106.3039,0,26.307,1.263157894736842,7110.38,60.0,60.01,60.0,0.0015,0.221,2026-03-26T19:41:13.934608
10,backward,5,10,CCW,0.0,-0.0,-0.0088,0.0014,109.4141,0,27.815,1.263157894736842,7110.38,60.0,60.01,60.0,0.0015,0.222,2026-03-26T19:41:43.438212
